model,accuracy,fpr,fnr,stratum_a,stratum_b,stratum_c,stratum_d,confidence_corr,parse_rate,avg_tokens_in,avg_tokens_out,cost_per_call,cost_at_4k,errors,total
anthropic/claude-sonnet-4.6,0.945,0.021,0.1404,0.92,1.0,0.94,0.92,0.3719,1.0,499,118,0.003261,13.04,0,200
google/gemini-2.5-pro,0.94,0.021,0.1579,0.88,1.0,0.98,0.9,0.1013,1.0,429,1203,0.012564,50.26,0,200
anthropic/claude-haiku-4.5,0.935,0.007,0.2105,0.92,1.0,0.9,0.92,0.5302,1.0,499,104,0.000814,3.25,0,200
openai/gpt-5.4-mini,0.935,0.042,0.1228,0.9,1.0,0.96,0.88,0.2137,1.0,428,83,0.000305,1.22,0,200
x-ai/grok-4.1-fast,0.925,0.0839,0.0526,0.94,1.0,0.98,0.78,0.2919,1.0,573,612,0.002793,11.17,0,200
google/gemini-3-flash-preview,0.925,0.0909,0.0351,0.9,0.98,0.96,0.86,0.3699,1.0,429,79,0.000112,0.45,0,200
google/gemini-3.1-flash-lite-preview,0.925,0.0559,0.1228,0.9,1.0,0.96,0.84,0.3081,1.0,429,79,1.6e-05,0.07,0,200
openai/gpt-5.4,0.9246,0.0769,0.0702,0.86,1.0,1.0,0.82,0.4376,0.995,428,85,0.001917,7.67,1,200
qwen/qwen3.6-plus,0.92,0.1049,0.0175,0.94,1.0,0.94,0.8,0.3972,1.0,466,1360,0.001818,7.27,0,200
openai/o4-mini,0.9072,0.0909,0.0877,0.88,1.0,0.9,0.74,0.2071,0.925,428,180,0.001262,5.05,6,200
google/gemini-2.5-flash,0.895,0.1049,0.1053,0.9,1.0,0.96,0.72,0.3332,1.0,429,86,0.000116,0.46,0,200
deepseek/deepseek-v3.2,0.89,0.1469,0.0175,0.88,1.0,0.94,0.74,-0.3463,1.0,452,83,8.7e-05,0.35,0,200
meta-llama/llama-4-maverick,0.85,0.1608,0.1228,0.84,1.0,0.9,0.66,0.3366,1.0,499,83,0.000149,0.6,0,200
xiaomi/mimo-v2-flash,0.8,0.2727,0.0175,0.7,1.0,0.88,0.62,0.3841,1.0,496,89,6e-05,0.24,0,200
meta-llama/llama-4-scout,0.755,0.3147,0.0702,0.84,0.98,0.72,0.48,0.5,0.995,433,82,9.9e-05,0.4,0,200
mistralai/mistral-nemo,0.71,0.3287,0.193,0.74,1.0,0.72,0.38,-0.0126,1.0,478,67,2.2e-05,0.09,0,200
cohere/command-r7b-12-2024,0.61,0.4336,0.2807,0.54,0.96,0.46,0.48,-0.0769,1.0,450,77,2.1e-05,0.08,0,200
